EFT_PERIODO	EFT_VIVIENDA	EFT_ESTRATO	EFT_EN	EFT_UPM	EFT_ANO	EFT_SEMESTRE	EFT_PROVINCIA	EFT_MUNICIPIO	EFT_ZONA	EFT_BARRIO_SECCION	EFT_PARAJE	EFT_NO_ORDEN_UPM	EFT_ROTACION	EFT_ENCUESTADOR	EFT_SUPERVISOR	EFT_CRITICO_CODIFICADOR	EFT_DIGITADOR	EFT_CANT_HOGARES	EFT_USO_VIV_ORIGINAL	EFT_USO_VIV_RESERVA	EFT_CUAL_UTILIZO	EFT_POR_QUE	EFT_TIPO_VIVIENDA	EFT_NO_DE_CASAS	EFT_NO_DE_PISOS	EFT_NO_APTO_POR_PISO	EFT_PARED_EXTERIOR	EFT_PARED_INTERIOR	EFT_TECHO	EFT_PISO	EFT_TIPO_TENENCIA	EFT_CANT_CUARTOS	EFT_CANT_DORMITORIOS	EFT_UBICACION_COCINA	EFT_COMBUSTIBLE_COCINA	EFT_AGUA_RED_PUBLICA	EFT_TIPO_SANITARIO	EFT_ESTADO_VIVIENDA	EFT_APARIENCIA_VIVIENDA	EFT_PAGA_ALQUILER	EFT_MONTO_ALQUILER	EFT_PERIODO_PAGO_ALQ	EFT_MONTO_PROBABLE_ALQ	EFT_POR_QUE_UTILIZO_ABC	EFT_FACTOR_EXP	EFT_POR_QUE_RESERVA	EFT_POR_QUE_NO_REALIZO	EFT_POR_QUE_NO_REALIZO_OTROS	EFT_ALUMBRADO_PUBLICO	EFT_CALLES_ASFALTADAS	EFT_TIPO_VIVIENDA_ESP	EFT_PARED_EXTERIOR_ESP	EFT_PARED_INTERIOR_ESP	EFT_TECHO_ESP	EFT_PISO_ESP	EFT_TENENCIA_ESP	EFT_COMBUSTIBLE_COCINA_ESP	EFT_MONTO_ALQUILER_DOLARES	EFT_MONTO_PROBABLE_ALQ_DOLARES	EFT_DURACION_ENTREVISTA	EFT_NUMERO_VISITAS	EFT_TIPO_ALUMBRADO_VIV	EFT_TIPO_ALUMBRADO_VIV_ESP	EFT_COMO_ELIMINA_BASURA	EFT_COMO_ELIMINA_BASURA_ESP	EFT_TIEMPO_PAGA_ALQUILER
1/2000	1,502	1	0	151			1	101	0	MARIA AUXILIADORA		2	0	35	145	79,004	79,004	1	1				1	0	0	0	2	2	19	4	7	3	2	2	1	1	1	2	3	1	1,500.00	2	0.00		283																					
1/2000	1,503	1	0	151			1	101	0	MARIA AUXILIADORA		1	0	35	145	79,004	79,004	1	1				1	0	0	0	2	2	6	4	2	4	3	2	1	1	1	3	3	2	0.00	0	2,000.00		283																					
1/2000	1,504	1	0	151			1	101	0	MARIA AUXILIADORA		8	0	35	145	79,004	79,004	1	1				2	0	0	0	2	2	19	4	7	2	1	1	1	1	2	3	4	1	1,300.00	2	0.00		283																					
1/2000	1,505	1	0	151			1	101	0	MARIA AUXILIADORA		7	0	35	145	79,004	79,004	1	1				1	0	0	0	2	2	19	4	5	6	5	2	1	1	1	2	2	2	0.00	0	2,500.00		284																					
1/2000	1,506	1	0	151			1	101	0	MARIA AUXILIADORA		9	0	35	145	79,004	79,004	1	1				8	0	0	0	2	9	19	4	7	1	1	1	1	1	1	2	4	1	400.00	2	0.00		283																					
1/2000	1,507	1	0	151			1	101	0	MARIA AUXILIADORA		10	0	35	145	79,004	79,004	1	1				8	0	0	0	2	2	19	4	7	2	1	1	1	1	1	3	4	1	500.00	2	0.00		283																					
1/2000	1,508	1	0	151			1	101	0	MARIA AUXILIADORA		6	0	35	145	79,004	79,004	1	1				1	0	0	0	2	2	19	4	7	2	1	2	1	2	1	2	4	1	800.00	2	0.00		283																					
1/2000	1,509	1	0	151			1	101	0	MARIA AUXILIADORA		3	0	35	145	79,004	79,004	1	2	1	A		1	0	0	0	2	2	6	12	8	2	1	1	1	1	2	2	4	2	0.00	0	1,200.00		284																					
1/2000	1,510	1	0	151			1	101	0	MARIA AUXILIADORA		5	0	35	145	79,004	79,004	1	2	1	C		1	0	0	0	2	2	19	12	8	3	2	1	1	2	1	3	3	2	0.00	0	2,000.00		283																					
1/2000	1,511	1	0	152			1	101	0	MARIA AUXILIADORA		8	0	35	145	79,004	79,004	1	1				1	0	0	0	2	2	6	17	5	2	1	1	1	2	2	3	4	2	0.00	0	1,500.00		376																					
1/2000	1,512	1	0	152			1	101	0	MARIA AUXILIADORA		5	0	35	145	79,004	79,004	1	1				1	0	0	0	2	14	19	4	7	3	2	1	1	1	1	2	4	1	1,100.00	2	0.00		375																					
1/2000	1,513	1	0	152			1	101	0	MARIA AUXILIADORA		6	0	35	145	79,004	79,004	1	1				2	0	0	0	2	2	19	4	7	2	1	2	1	1	1	2	3	1	700.00	2	0.00		376																					
1/2000	1,514	1	0	152			1	101	0	MARIA AUXILIADORA		4	0	35	145	79,004	79,004	1	1				2	0	0	0	2	2	6	4	1	1	1	1	1	2	2	2	4	2	0.00	0	1,000.00		376																					
1/2000	1,515	1	0	152	2,000	1	1	101	0	MARIA AUXILIADORA		2	0	35	145	79,004	79,004	1	1				1	0	0	0	2	14	19	4	1	3	2	1	6	2	3	3	4	2	0.00	0	900.00		376																					
1/2000	1,516	1	0	152			1	101	0	MARIA AUXILIADORA		3	0	35	145	79,004	79,004	1	1				2	0	0	0	9	9	19	4	7	1	1	3	6	2	3	2	4	1	300.00	2	0.00		376																					
1/2000	1,517	1	0	152			1	101	0	MARIA AUXILIADORA		10	0	35	145	79,004	79,004	1	1				2	0	0	0	2	2	19	4	7	2	1	1	1	2	1	2	3	1	500.00	2	0.00		376																					
1/2000	1,518	1	0	152			1	101	0	MARIA AUXILIADORA		9	0	35	145	79,004	79,004	1	2	1	A		1	0	0	0	2	14	19	4	7	2	1	1	1	2	2	2	4	1	500.00	2	0.00		376																					
1/2000	1,519	1	0	152			1	101	0	MARIA AUXILIADORA		1	0	35	145	79,004	79,004	1	1				1	0	0	0	2	2	19	4	1	4	2	1	1	2	3	2	4	2	0.00	0	2,000.00		376																					
1/2000	1,520	1	0	152			1	101	0	MARIA AUXILIADORA		7	0	35	145	79,004	79,004	1	1				1	0	0	0	2	20	19	4	7	1	1	1	6	2	1	2	4	1	500.00	2	0.00		376																					
1/2000	1,521	1	0	153	2,000	1	1	101	0	MEJORAMIENTO SOCIAL		6	0	11	145	79,004	79,004	1	1				2	0	0	0	2	9	19	4	7	4	3	1	1	1	2	3	4	1	1,500.00	2	0.00		469																					
1/2000	1,522	1	0	153	2,000	1	1	101	0	MEJORAMIENTO SOCIAL		7	0	11	145	79,004	79,004	1	1				1	0	0	0	2	2	6	5	5	7	4	1	1	1	1	1	3	2	0.00	0	4,000.00		469																					
1/2000	1,523	1	0	153	2,000	1	1	101	0	MEJORAMIENTO SOCIAL		1	0	11	145	79,004	79,004	1	1				1	0	0	0	2	2	6	4	7	4	2	1	1	2	2	1	3	1	2,350.00	2	0.00		470																					
1/2000	1,524	1	0	153	2,000	1	1	101	0	MEJORAMIENTO SOCIAL		4	0	11	145	79,004	79,004	1	1				8	0	0	0	2	9	6	4	7	2	1	3	1	2	1	2	4	1	1,500.00	2	0.00		470																					
1/2000	1,525	1	0	153			1	101	0	MEJORAMIENTO SOCIAL		2	0	11	145	79,004	79,004	1	1				2	0	0	0	9	9	19	4	5	2	1	3	1	1	2	3	5	2	0.00	0	1,500.00		470																					
1/2000	1,526	1	0	153			1	101	0	MEJORAMIENTO SOCIAL		5	0	11	145	79,004	79,004	1	1				8	0	0	0	2	11	19	4	7	2	1	2	1	1	2	2	4	1	500.00	2	0.00		470																					
1/2000	1,527	1	0	153			1	101	0	MEJORAMIENTO SOCIAL		3	0	11	145	79,004	79,004	1	1				8	0	0	0	2	11	19	4	7	2	1	3	1	1	1	2	4	1	1,000.00	2	0.00		470																					
1/2000	1,528	1	0	153			1	101	0	MEJORAMIENTO SOCIAL		8	0	11	145	79,004	79,004	1	2	1	C		2	0	0	0	2	2	6	12	7	4	2	1	1	1	1	1	3	1	2,500.00	2	0.00		470																					
1/2000	1,529	1	0	153			1	101	0	MEJORAMIENTO SOCIAL		9	0	11	145	79,004	79,004	1	1				1	0	0	0	2	2	6	7	7	4	2	1	1	1	1	2	4	1	1,200.00	2	0.00		470																					
1/2000	1,530	1	0	153			1	101	0	MEJORAMIENTO SOCIAL		10	0	11	145	79,004	79,004	1	2	1	B		2	0	0	0	2	2	6	7	5	7	4	1	1	1	1	1	3	2	0.00	0	7,000.00		470																					
1/2000	1,531	1	0	154	2,000	1	1	101	0	VILLA FRANCISCA		9	0	5	145	79,004	79,004	1	1				5	0	4	2	2	2	6	12	7	4	3	1	1	2	1	1	4	1	3,000.00	2	0.00		346																					
1/2000	1,532	1	0	154			1	101	0	VILLA FRANCISCA		2	0	5	145	79,004	79,004	1	1				5	0	3	5	2	2	6	12	2	4	3	1	1	2	1	1	4	2	0.00	0	2,500.00		345																					
1/2000	1,533	1	0	154			1	101	0	VILLA FRANCISCA		8	0	5	145	79,004	79,004	1	2	1	A		5	0	3	5	2	2	6	12	7	4	3	1	1	2	1	3	4	1	1,000.00	2	0.00		345																					
1/2000	1,534	1	0	154			1	101	0	VILLA FRANCISCA		10	0	5	145	79,004	79,004	1	1				5	0	4	1	2	2	6	12	2	4	3	1	1	2	1	3	4	2	0.00	0	3,000.00		346																					
1/2000	1,535	1	0	154			1	101	0	VILLA FRANCISCA		3	0	5	145	79,004	79,004	1	2	1	B		5	0	4	3	2	2	6	12	7	4	3	1	1	2	1	1	3	1	3,000.00	2	0.00		345																					
1/2000	1,536	1	0	154			1	101	0	VILLA FRANCISCA		5	0	5	145	79,004	79,004	1	1				8	0	0	0	9	9	19	4	8	3	2	1	1	2	2	3	5	2	0.00	0	1,000.00		345																					
1/2000	1,537	1	0	154			1	101	0	VILLA FRANCISCA		6	0	5	145	79,004	79,004	1	1				8	0	0	0	9	9	19	12	7	2	1	3	1	2	2	3	5	1	400.00	2	0.00		345																					
1/2000	1,538	1	0	154			1	101	0	VILLA FRANCISCA		4	0	5	145	79,004	79,004	1	2	1	C		8	0	0	0	9	9	19	4	6	3	1	1	1	1	2	2	4	2	0.00	0	700.00		345																					
1/2000	1,541	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		1	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	6	4	1	5	3	1	1	1	2	3	3	2	0.00	0	1,800.00		374																					
1/2000	1,542	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		2	0	10	151	96,118	13,900	2	1				1	0	0	0	2	2	6	4	7	6	3	1	1	1	2	1	3	1	2,500.00	2	0.00		374																					
1/2000	1,543	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		3	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	6	4	5	4	2	1	1	2	2	3	3	2	0.00	0	1,500.00		375																					
1/2000	1,544	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		4	0	10	151	96,118	13,900	1	1				7	0	0	0	2	2	6	4	7	4	2	1	1	2	2	2	3	1	1,500.00	2	0.00		375																					
1/2000	1,545	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		5	0	10	151	96,118	13,900	1	1				1	0	0	0	2	14	19	4	7	4	2	1	1	2	2	3	4	1	1,500.00	2	0.00		374																					
1/2000	1,546	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		6	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	6	4	7	2	1	1	1	1	2	1	3	1	1,500.00	2	0.00		374																					
1/2000	1,547	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		7	0	10	151	96,118	13,900	1	1				2	0	0	0	2	2	19	4	5	4	3	1	1	1	2	2	3	2	0.00	0	2,000.00		374																					
1/2000	1,548	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		8	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	6	12	5	4	2	1	1	1	2	2	3	2	0.00	0	2,000.00		374																					
1/2000	1,549	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		9	0	10	151	96,118	13,900	1	2	1	A		1	0	0	0	2	2	19	4	1	4	2	1	1	1	2	3	3	2	0.00	0	2,000.00		374																					
1/2000	1,550	1	0	155			1	101	0	SAN SOUCI ( LA TERMINAL )		10	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	19	7	5	5	3	1	1	1	2	2	3	2	0.00	0	2,000.00		374																					
1/2000	1,551	1	0	156			1	101	0	VILLA DUARTE		1	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	6	12	8	5	3	1	1	2	2	3	4	2	0.00	0	2,000.00		317																					
1/2000	1,552	1	0	156			1	101	0	VILLA DUARTE		2	0	10	151	96,118	13,900	1	1				3	1	0	0	2	2	19	4	5	4	2	1	1	2	2	3	4	2	0.00	0	1,800.00		317																					
1/2000	1,553	1	0	156			1	101	0	VILLA DUARTE		3	0	10	151	96,118	13,900	2	1				1	0	0	0	2	2	19	4	5	3	2	1	1	2	2	3	5	2	0.00	0	1,200.00		317																					
1/2000	1,554	1	0	156			1	101	0	VILLA DUARTE		4	0	10	151	96,118	13,900	1	1				3	1	0	0	9	2	19	4	7	1	0	3	6	2	2	3	5	1	400.00	2	0.00		317																					
1/2000	1,555	1	0	156			1	101	0	VILLA DUARTE		5	0	10	151	96,118	13,900	1	1				3	1	0	0	2	9	19	4	7	2	1	3	1	2	3	3	5	1	800.00	2	0.00		318																					
1/2000	1,556	1	0	156			1	101	0	VILLA DUARTE		6	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	6	4	1	4	2	1	1	2	2	3	4	2	0.00	0	1,500.00		317																					
1/2000	1,557	1	0	156			1	101	0	VILLA DUARTE		7	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	6	4	6	2	1	3	1	2	2	3	4	2	0.00	0	1,000.00		317																					
1/2000	1,558	1	0	156			1	101	0	VILLA DUARTE		8	0	10	151	96,118	13,900	1	1				1	0	0	0	2	9	19	4	5	3	1	1	1	2	3	3	5	2	0.00	0	800.00		317																					
1/2000	1,559	1	0	156			1	101	0	VILLA DUARTE		9	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	6	12	5	5	2	1	1	2	1	2	3	2	0.00	0	2,000.00		317																					
1/2000	1,560	1	0	156			1	101	0	VILLA DUARTE		10	0	10	151	96,118	13,900	1	1				1	0	0	0	2	2	19	4	7	4	2	1	1	2	2	3	4	1	1,500.00	2	0.00		318																					
1/2000	1,561	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		1	0	37	145	79,004	79,004	1	1				2	0	0	0	9	20	19	4	7	1	0	1	1	2	3	3	5	1	400.00	2	0.00		268																					
1/2000	1,562	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		2	0	37	145	79,004	79,004	1	1				1	0	0	0	2	2	19	4	7	2	1	1	1	2	3	3	4	1	800.00	2	0.00		267																					
1/2000	1,563	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		3	0	37	145	79,004	79,004	1	2	1	B		2	0	0	0	2	9	19	4	7	1	1	2	1	2	4	3	5	1	400.00	2	0.00		268																					
1/2000	1,564	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		4	0	37	145	79,004	79,004	1	1				1	0	0	0	2	2	19	4	5	4	3	1	1	2	3	3	4	2	0.00	0	1,500.00		267																					
1/2000	1,565	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		5	0	37	145	79,004	79,004	1	1				1	0	0	0	2	2	19	4	5	3	2	1	1	2	3	3	4	2	0.00	0	2,000.00		267																					
1/2000	1,566	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		6	0	37	145	79,004	79,004	1	1				1	0	0	0	9	9	19	4	7	2	1	1	1	2	3	3	5	1	800.00	2	0.00		268																					
1/2000	1,567	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		7	0	37	145	79,004	79,004	1	1				1	0	0	0	9	9	19	4	9	4	3	1	5	2	3	3	5	2	0.00	0	1,000.00		268																					
1/2000	1,568	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		8	0	37	145	79,004	79,004	1	1				1	0	0	0	9	9	19	4	5	2	1	1	1	2	3	3	4	2	0.00	0	1,600.00		268																					
1/2000	1,569	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		9	0	37	145	79,004	79,004	1	1				1	0	0	0	2	2	19	4	5	5	3	1	1	1	2	1	3	2	0.00	0	2,000.00		268																					
1/2000	1,570	1	0	157			1	101	0	DOMINGO SAVIO ( LOS GUANDULES )		10	0	37	145	79,004	79,004	1	2	1	A		2	0	0	0	9	20	19	4	6	1	0	1	1	2	4	3	5	2	0.00	0	350.00		268																					
1/2000	1,571	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		1	0	37	145	79,004	79,004	1	1				1	0	0	0	9	9	19	4	5	5	2	1	1	2	3	3	5	2	0.00	0	3,000.00		246																					
1/2000	1,572	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		2	0	37	145	79,004	79,004	1	1				2	0	0	0	2	2	19	4	7	4	2	1	1	2	3	2	4	1	1,200.00	2	0.00		245																					
1/2000	1,573	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		3	0	37	145	79,004	79,004	1	1				1	0	0	0	9	9	19	4	5	5	3	1	5	1	3	3	5	2	0.00	0	1,000.00		245																					
1/2000	1,574	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		4	0	37	145	79,004	79,004	1	1				2	0	0	0	14	14	19	4	5	2	1	3	5	2	4	3	5	2	0.00	0	400.00		245																					
1/2000	1,575	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		5	0	37	145	79,004	79,004	1	1				1	0	0	0	19	14	19	4	5	3	1	3	6	2	3	3	5	2	0.00	0	1,000.00		245																					
1/2000	1,576	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		6	0	37	145	79,004	79,004	1	1				2	0	0	0	2	2	19	4	7	2	1	1	1	2	3	2	4	1	900.00	2	0.00		245																					
1/2000	1,577	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		7	0	37	145	79,004	79,004	1	1				2	0	0	0	3	20	19	4	5	1	0	1	1	2	3	3	5	2	0.00	0	300.00		245																					
1/2000	1,578	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		8	0	37	145	79,004	79,004	1	2	1	A		1	0	0	0	9	9	19	4	5	4	3	1	5	1	3	3	5	2	0.00	0	800.00		245																					
1/2000	1,579	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		9	0	37	145	79,004	79,004	1	1				2	0	0	0	2	2	6	4	7	2	1	3	1	2	3	3	5	1	400.00	2	0.00		245																					
1/2000	1,580	1	0	158			1	101	0	DOMINGO SAVIO ( BARRIO GUACHUPITA )		10	0	37	145	79,004	79,004	1	1				2	0	0	0	9	20	19	4	6	1	0	2	6	2	3	3	5	2	0.00	0	200.00		245																					
1/2000	1,581	1	0	159	2,000	1	1	101	0	GUALEY		1	0	42	146	13,900	96,118	1	1				1	0	0	0	9	9	19	4	3	2	1	1	1	2	2	3	5	2	0.00	0	800.00		224																					
1/2000	1,582	1	0	159			1	101	0	GUALEY		2	0	42	146	13,900	96,118	1	1				1	0	0	0	2	2	6	4	5	4	3	1	2	2	2	2	3	2	0.00	0	1,000.00		224																					
1/2000	1,583	1	0	159			1	101	0	GUALEY		3	0	42	146	13,900	96,118	1	1				2	0	0	0	19	20	19	4	5	1	0	3	6	2	4	3	5	2	0.00	0	500.00		223																					
1/2000	1,584	1	0	159			1	101	0	GUALEY		4	0	42	146	13,900	96,118	1	1				1	0	0	0	2	2	19	4	3	3	2	1	1	1	2	2	4	2	0.00	0	1,500.00		224																					
1/2000	1,585	1	0	159			1	101	0	GUALEY		5	0	42	146	13,900	96,118	1	1				1	0	0	0	2	2	6	4	7	4	3	1	1	2	2	2	3	1	900.00	2	0.00		224																					
1/2000	1,586	1	0	159			1	101	0	GUALEY		6	0	42	146	89,453	96,118	1	1				1	0	0	0	9	9	19	4	5	4	3	1	1	2	2	3	5	2	0.00	0	1,000.00		224																					
1/2000	1,587	1	0	159			1	101	0	GUALEY		7	0	42	146	13,900	96,118	1	1				3	5	0	0	2	2	19	4	7	2	1	3	1	2	3	3	5	1	500.00	2	0.00		224																					
1/2000	1,588	1	0	159			1	101	0	GUALEY		8	0	42	146	89,453	96,118	1	1				3	4	0	0	9	9	19	4	7	3	2	3	1	2	3	3	5	1	500.00	2	0.00		224																					
1/2000	1,589	1	0	159			1	101	0	GUALEY		9	0	42	146	89,453	96,118	1	2	1	A		1	0	0	0	9	9	19	4	7	3	2	1	1	2	2	3	5	1	700.00	2	0.00		224																					
1/2000	1,590	1	0	159			1	101	0	GUALEY		10	0	42	146	89,453	96,118	1	1				1	0	0	0	2	2	19	4	5	4	3	1	1	1	2	2	4	2	0.00	0	1,500.00		223																					
1/2000	1,591	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		1	0	16	149	93,693	79,004	1	1				1	0	0	0	19	3	19	4	1	2	1	1	1	2	3	3	5	2	0.00	0	500.00		285																					
1/2000	1,592	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		2	0	16	149	93,693	79,004	1	1				2	0	0	0	19	3	19	4	7	3	1	1	1	2	4	2	5	1	500.00	2	0.00		285																					
1/2000	1,593	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		3	0	16	149	93,693	79,004	1	1				1	0	0	0	2	2	6	4	5	3	2	1	1	2	2	3	4	2	0.00	0	1,200.00		285																					
1/2000	1,594	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		4	0	16	149	93,693	79,004	1	1				2	0	0	0	19	14	19	4	5	2	1	3	6	2	4	3	5	2	0.00	0	400.00		285																					
1/2000	1,595	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		5	0	16	149	93,693	79,004	1	1				1	0	0	0	19	3	19	4	1	2	1	3	5	2	4	3	5	2	0.00	0	300.00		285																					
1/2000	1,596	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		6	0	16	149	93,693	79,004	1	1				1	0	0	0	19	20	19	4	5	1	0	3	1	2	4	3	5	2	0.00	0	300.00		284																					
1/2000	1,597	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )	RESP.SAN JUAN DE LA MAGUANA S/N	7	0	16	149	93,693	79,004	1	1				2	0	0	0	19	14	19	4	7	2	1	3	1	2	4	3	5	1	400.00	2	0.00		285																					
1/2000	1,598	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		8	0	16	149	93,693	79,004	1	1				2	0	0	0	2	2	19	4	7	2	1	1	1	2	3	3	5	1	600.00	2	0.00		285																					
1/2000	1,599	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		9	0	16	149	93,693	79,004	1	1				1	0	0	0	2	14	19	4	6	2	1	3	1	2	3	3	5	2	0.00	0	500.00		284																					
1/2000	1,600	1	0	160			1	101	0	JARDINES DEL  OZAMA ( LOS 3 BRAZOS )		10	0	16	149	93,693	79,004	1	1				1	0	0	0	15	16	19	4	5	3	2	3	1	2	3	3	5	2	0.00	0	500.00		285																					
1/2000	1,601	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		1	0	15	150	87,030	79,004	1	1				1	0	0	0	2	2	6	4	5	4	2	1	1	1	2	2	3	2	0.00	0	2,000.00		234																					
1/2000	1,602	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		2	0	15	150	87,030	79,004	1	1				7	0	0	0	2	2	19	4	5	6	4	1	1	1	2	3	3	2	0.00	0	1,300.00		235																					
1/2000	1,603	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		3	0	15	150	87,030	96,118	1	1				1	0	0	0	2	2	19	4	5	6	3	1	1	1	2	3	4	2	0.00	0	2,500.00		234																					
1/2000	1,604	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		4	0	15	150	87,030	79,004	1	1				1	0	0	0	2	2	6	4	8	5	3	1	1	1	2	3	4	2	0.00	0	1,500.00		234																					
1/2000	1,605	1	0	161	2,000	1	1	101	0	ALTOS DE SABANA PERDIDA		5	0	15	150	87,030	87,030	1	1				8	0	0	0	3	3	19	4	8	2	1	3	1	1	2	3	5	2	0.00	0	500.00		234																					
1/2000	1,606	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		6	0	15	150	87,030	96,118	1	1				1	0	0	0	2	2	6	12	5	4	3	1	1	1	2	2	3	2	0.00	0	2,000.00		234																					
1/2000	1,607	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		7	0	15	150	87,030	79,004	1	1				1	0	0	0	2	2	6	4	5	3	2	1	1	1	2	2	4	2	0.00	0	2,000.00		234																					
1/2000	1,608	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		8	0	15	150	87,030	87,030	1	1				2	0	0	0	2	2	6	4	5	6	3	1	1	1	2	2	3	2	0.00	0	1,500.00		234																					
1/2000	1,609	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		9	0	15	150	87,030	87,030	1	1				1	0	0	0	2	2	19	4	5	3	1	1	1	1	2	3	5	2	0.00	0	900.00		234																					
1/2000	1,610	1	0	161			1	101	0	ALTOS DE SABANA PERDIDA		10	0	15	150	87,030	87,030	1	1				1	0	0	0	2	2	6	4	5	5	2	1	1	1	2	2	3	2	0.00	0	5,000.00		234																					
1/2000	1,611	1	0	162			1	101	0	LOS MINAS NORTE ( CATANGA )		1	0	46	149	87,030	94,205	1	1				5	0	2	3	2	2	6	4	7	4	3	1	1	1	1	2	4	1	1,700.00	2	0.00		250																					
1/2000	1,612	1	0	162			1	101	0	LOS MINAS NORTE ( CATANGA )		2	0	46	149	87,030	94,205	1	2	1	A		4	0	2	3	2	2	6	4	8	4	3	1	1	1	1	2	4	2	0.00	0	1,800.00		250																					
1/2000	1,613	1	0	162			1	101	0	LOS MINAS NORTE ( CATANGA )		3	0	46	149	87,030	94,205	1	1				5	0	3	3	2	2	6	4	1	4	3	1	1	1	1	2	4	2	0.00	0	2,000.00		250																					
1/2000	1,614	1	0	162			1	101	0	LOS MINAS NORTE ( CATANGA )		4	0	46	149	87,030	94,205	1	1				5	0	3	3	2	2	6	4	7	4	3	1	1	1	1	3	4	1	1,400.00	2	0.00		250																					
1/2000	1,615	1	0	162	2,000	1	1	101	0	LOS MINAS NORTE ( CATANGA )		5	0	46	149	87,030	94,205	1	1				1	0	0	0	2	2	6	4	7	4	3	1	1	1	1	2	4	1	2,000.00	2	0.00		251																					
1/2000	1,616	1	0	162			1	101	0	LOS MINAS NORTE ( CATANGA )		6	0	46	149	87,030	94,205	1	1				5	0	2	3	2	2	6	12	7	4	3	1	1	1	1	2	4	1	2,000.00	2	0.00		250																					
1/2000	1,617	1	0	162			1	101	0	LOS MINAS NORTE ( CATANGA )		7	0	46	149	87,030	94,205	1	1				1	0	0	0	2	2	6	4	1	4	3	1	1	1	1	2	4	2	0.00	0	1,800.00		250																					
1/2000	1,618	1	0	162			1	101	0	LOS MINAS NORTE ( CATANGA )		8	0	46	149	87,030	94,205	1	1				5	0	2	3	2	2	6	4	1	4	3	1	1	1	1	2	5	2	0.00	0	2,500.00		251																					
1/2000	1,619	1	0	162			1	101	0	LOS MINAS NORTE ( CATANGA )		9	0	46	149	87,030	94,205	1	1				5	0	2	3	2	2	6	4	4	4	3	1	1	1	1	2	4	2	0.00	0	2,000.00		250																					
