EFT_PERIODO	EFT_VIVIENDA	EFT_ESTRATO	EFT_EN	EFT_UPM	EFT_ANO	EFT_SEMESTRE	EFT_PROVINCIA	EFT_MUNICIPIO	EFT_ZONA	EFT_BARRIO_SECCION	EFT_PARAJE	EFT_NO_ORDEN_UPM	EFT_ROTACION	EFT_ENCUESTADOR	EFT_SUPERVISOR	EFT_CRITICO_CODIFICADOR	EFT_DIGITADOR	EFT_CANT_HOGARES	EFT_USO_VIV_ORIGINAL	EFT_USO_VIV_RESERVA	EFT_CUAL_UTILIZO	EFT_POR_QUE	EFT_TIPO_VIVIENDA	EFT_NO_DE_CASAS	EFT_NO_DE_PISOS	EFT_NO_APTO_POR_PISO	EFT_PARED_EXTERIOR	EFT_PARED_INTERIOR	EFT_TECHO	EFT_PISO	EFT_TIPO_TENENCIA	EFT_CANT_CUARTOS	EFT_CANT_DORMITORIOS	EFT_UBICACION_COCINA	EFT_COMBUSTIBLE_COCINA	EFT_AGUA_RED_PUBLICA	EFT_TIPO_SANITARIO	EFT_ESTADO_VIVIENDA	EFT_APARIENCIA_VIVIENDA	EFT_PAGA_ALQUILER	EFT_MONTO_ALQUILER	EFT_PERIODO_PAGO_ALQ	EFT_MONTO_PROBABLE_ALQ	EFT_POR_QUE_UTILIZO_ABC	EFT_FACTOR_EXP	EFT_POR_QUE_RESERVA	EFT_POR_QUE_NO_REALIZO	EFT_POR_QUE_NO_REALIZO_OTROS	EFT_ALUMBRADO_PUBLICO	EFT_CALLES_ASFALTADAS	EFT_TIPO_VIVIENDA_ESP	EFT_PARED_EXTERIOR_ESP	EFT_PARED_INTERIOR_ESP	EFT_TECHO_ESP	EFT_PISO_ESP	EFT_TENENCIA_ESP	EFT_COMBUSTIBLE_COCINA_ESP	EFT_MONTO_ALQUILER_DOLARES	EFT_MONTO_PROBABLE_ALQ_DOLARES	EFT_DURACION_ENTREVISTA	EFT_NUMERO_VISITAS	EFT_TIPO_ALUMBRADO_VIV	EFT_TIPO_ALUMBRADO_VIV_ESP	EFT_COMO_ELIMINA_BASURA	EFT_COMO_ELIMINA_BASURA_ESP	EFT_TIEMPO_PAGA_ALQUILER
1/2000	176	1	0	18			1	101	0	ENS. NACO		6	0	173	148	89,453	94,205	2	1				4	0	5	4	2	2	6	5	1	6	4	1	1	1	1	1	3	2	0.00	0	15,000.00		441																					
1/2000	177	1	0	18			1	101	0	ENS. NACO		7	0	173	148	89,453	94,205	1	1				1	0	0	0	2	2	6	10	3	7	3	1	1	1	2	1	2	2	0.00	0	15,000.00		441																					
1/2000	178	1	0	18			1	101	0	ENS. NACO		8	0	173	148	89,453	94,205	2	1				4	0	8	1	2	2	6	10	1	10	5	1	1	1	1	1	2	2	0.00	0	25,000.00		441																					
1/2000	180	1	0	18			1	101	0	ENS. NACO		10	0	173	148	89,453	94,205	2	1				4	0	7	1	2	2	6	10	1	8	4	1	1	1	1	2	1	2	0.00	0	30,000.00		441																					
1/2000	181	1	0	19			1	101	0	LA AGUSTINITA		1	0	21	147	82,031	13,900	1	1				2	0	0	0	2	2	6	4	7	2	1	1	1	1	3	1	4	1	900.00	2	0.00		272																					
1/2000	182	1	0	19			1	101	0	LA AGUSTINITA		2	0	21	147	82,031	13,900	1	1				1	0	0	0	2	2	19	4	3	2	1	1	1	2	3	2	4	2	0.00	0	1,000.00		272																					
1/2000	183	1	0	19			1	101	0	LA AGUSTINITA		3	0	21	147	82,031	13,900	1	1				1	0	0	0	2	2	19	4	7	3	2	1	1	1	2	2	4	1	1,000.00	2	0.00		272																					
1/2000	184	1	0	19			1	101	0	LA AGUSTINITA		4	0	21	147	82,031	13,900	1	1				1	0	0	0	2	2	19	4	3	4	2	1	1	2	2	2	4	2	0.00	0	1,000.00		272																					
1/2000	185	1	0	19			1	101	0	LA AGUSTINITA		2	0	21	147	82,031	13,900	1	1				2	0	0	0	2	2	16	4	7	3	2	1	1	1	1	1	4	1	1,500.00	2	0.00		272																					
1/2000	186	1	0	19			1	101	0	LA AGUSTINITA		6	0	21	147	82,031	13,900	1	1				2	0	0	0	2	2	19	4	5	4	3	1	1	1	2	3	4	2	0.00	0	1,000.00		272																					
