EFT_PERIODO	EFT_VIVIENDA	EFT_HOGAR	EFT_MIEMBRO	EFT_SEXO	EFT_EDAD	EFT_PARENTESCO_CON_JEFE	EFT_ESTADO_CIVIL	EFT_ALFABETISMO	EFT_ULT_ANO_APROBADO	EFT_ULT_NIVEL_ALCANZADO	EFT_SE_MATRICULO	EFT_TANDA_ASISTE	EFT_TIPO_CENTRO	EFT_MOTIVO_NO_ASISTE	EFT_MUNICIPIO_RESIDE	EFT_ZONA_RESIDE	EFT_PAIS_RESIDE	EFT_TIEMPO_RESIDENCIA	EFT_RAZON_TRASLADO	EFT_FACTOR_EXP	EFT_ESTRATO	EFT_UPM	EFT_CANT_MIEMBROS	EFT_NOMBRE_MIEMBRO	EFT_SE_MATRICULO_TEXTO	EFT_NUEVO_FACTOR_CENSO	EFT_FACTOR_EXP_CENSO1993	EFT_MOTIVO_NO_ASISTE_ESP	EFT_TANDA_ASISTE_ESP	EFT_RAZON_TRASLADO_ESP	EFT_MIEMBRO_AFILIADO_SEGURO	EFT_SEGURO_ESTA_AFILIADO	EFT_SEGURO_ESTA_AFILIADO_ESP	EFT_TIPO_AFILIADO	EFT_FACTOR_EXP_ANUAL
1/2000	1	1	1	1	47	1	2	1	8	2	7	0	0	9	601	0	647	5	5	236	1	1	7				245								
1/2000	1	1	2	2	51	2	2	1	2	2	7	0	0	4	2,401	0	647	5	5	236	1	1	7				245								
1/2000	1	1	3	1	30	4	6	1	8	2	7	0	0	4	2,401	0	647	5	5	236	1	1	7				245								
1/2000	1	1	4	1	20	3	6	1	3	2	7	0	0	4	101	0	647	1	0	236	1	1	7				245								
1/2000	1	1	5	2	13	3	6	1	3	2	2	2	1	0	101	0	647	1	0	236	1	1	7				245								
1/2000	1	1	6	2	14	3	6	1	1	2	2	2	1	0	101	0	647	1	0	236	1	1	7				245								
1/2000	1	1	7	1	6	3	6	2	0	7	7	0	0	7	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	1	1	31	1	1	1	8	2	7	0	0	4	2,801	0	647	5	5	236	1	1	7				245								
1/2000	2	1	2	2	27	2	1	1	7	2	7	0	0	4	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	3	2	12	3	6	1	4	2	2	2	2	0	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	4	2	9	3	6	1	2	2	2	2	2	0	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	5	2	4	3	6	0	0	7	7	0	0	7	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	6	1	2	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	7	1	0	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	7				245								
1/2000	3	1	1	1	60	1	5	1	3	2	7	0	0	9	2,201	0	647	5	1	236	1	1	6				245								
1/2000	3	1	2	2	34	3	6	1	3	2	7	0	0	4	2,201	0	647	5	5	236	1	1	6				245								
1/2000	3	1	3	2	26	3	6	2	1	2	7	0	0	4	2,201	0	647	5	5	236	1	1	6				245								
1/2000	3	1	4	2	18	5	6	1	4	2	2	3	2	0	101	0	647	1	0	236	1	1	6				245								
1/2000	3	1	5	2	16	5	6	1	7	2	2	3	2	0	101	0	647	1	0	236	1	1	6				245								
1/2000	3	1	6	2	10	5	6	1	3	2	2	2	2	0	101	0	647	1	0	236	1	1	6				245								
1/2000	4	1	1	1	54	1	1	1	6	2	7	0	0	4	2,101	0	647	5	1	236	1	1	3				245								
1/2000	4	1	2	2	48	2	1	1	4	2	7	0	0	4	101	0	647	1	0	236	1	1	3				245								
1/2000	4	1	3	1	18	3	6	1	2	3	3	3	2	0	101	0	647	1	0	236	1	1	3				245								
1/2000	5	1	1	1	35	1	1	1	6	2	7	0	0	4	2,201	0	647	5	1	236	1	1	5				245								
1/2000	5	1	2	2	28	2	1	1	4	3	7	0	0	4	201	0	647	5	5	236	1	1	5				245								
1/2000	5	1	3	1	12	3	6	1	5	2	2	1	2	0	101	0	647	1	0	236	1	1	5				245								
1/2000	5	1	4	1	10	3	6	1	2	2	2	1	1	0	101	0	647	1	0	236	1	1	5				245								
1/2000	5	1	5	2	7	3	6	1	1	2	2	1	1	0	101	0	647	1	0	236	1	1	5				245								
1/2000	6	1	1	1	42	1	1	1	3	2	7	0	0	4	1,401	0	647	5	1	236	1	1	8				245								
1/2000	6	1	2	2	30	2	1	1	1	3	7	0	0	4	2,101	0	647	5	5	236	1	1	8				245								
1/2000	6	1	3	1	14	3	6	1	4	2	2	1	1	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	4	1	12	3	6	1	3	2	2	2	2	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	5	2	10	3	6	1	2	2	2	2	1	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	6	2	8	3	6	1	1	2	2	1	1	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	7	2	7	3	6	1	1	2	2	1	1	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	8	2	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	8				245								
1/2000	7	1	1	1	33	1	1	1	3	2	7	0	0	2	2,201	0	647	5	1	236	1	1	4				245								
1/2000	7	1	2	2	27	2	1	1	5	2	7	0	0	9	401	0	647	5	5	236	1	1	4				245								
1/2000	7	1	3	2	0	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	4				245								
1/2000	7	1	4	1	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	4				245								
1/2000	8	1	1	2	54	1	3	1	3	2	7	0	0	4	2,503	0	647	5	6	236	1	1	5				245								
1/2000	8	1	2	1	25	3	6	1	4	2	7	0	0	4	101	0	647	1	0	236	1	1	5				245								
1/2000	8	1	3	1	18	3	6	1	3	2	7	0	0	4	101	0	647	1	0	236	1	1	5				245								
1/2000	8	1	4	1	9	5	6	1	2	2	2	2	2	0	101	0	647	1	0	236	1	1	5				245								
1/2000	8	1	5	1	8	5	6	1	1	2	2	1	2	0	101	0	647	1	0	236	1	1	5				245								
1/2000	9	1	1	1	31	1	1	1	8	2	7	0	0	2	1,301	1	647	5	1	236	1	1	4				245								
1/2000	9	1	2	2	21	2	1	1	1	3	7	0	0	9	2,101	0	647	5	5	236	1	1	4				245								
1/2000	9	1	3	1	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	4				245								
1/2000	9	1	4	1	0	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	4				245								
1/2000	10	1	1	2	36	1	4	1	5	2	7	0	0	4	701	0	647	5	1	236	1	1	2				244								
1/2000	10	1	2	2	18	3	6	1	1	3	3	1	2	0	101	0	647	1	0	236	1	1	2				244								
1/2000	11	1	1	1	73	1	1	1	5	2	7	0	0	7	2,301	1	647	5	1	224	1	2	9				233								
1/2000	11	1	2	2	62	2	1	1	3	2	7	0	0	7	2,301	0	647	5	5	224	1	2	9				233								
1/2000	11	1	3	1	37	3	6	1	3	3	7	0	0	2	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	4	1	40	3	2	1	2	5	7	0	0	2	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	5	1	14	5	6	1	5	2	2	1	1	0	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	6	1	11	5	6	1	3	2	2	1	1	0	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	7	2	9	5	6	1	3	2	2	1	1	0	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	8	1	3	5	6	0	0	0	0	0	0	0	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	9	2	30	6	2	1	3	3	7	0	0	9	101	0	647	1	0	224	1	2	9				233								
1/2000	12	1	1	2	47	1	4	1	3	2	7	0	0	7	201	0	647	4	6	224	1	2	6				233								
1/2000	12	1	2	2	20	3	6	1	1	5	5	1	2	0	201	0	647	4	3	224	1	2	6				233								
1/2000	12	1	3	2	16	3	6	1	7	2	7	0	0	9	201	0	647	4	5	224	1	2	6				233								
1/2000	12	1	4	1	23	3	1	1	4	3	7	0	0	5	201	0	647	4	5	224	1	2	6				233								
1/2000	12	1	5	2	3	5	6	0	0	0	0	0	0	0	201	0	647	4	5	224	1	2	6				233								
1/2000	12	1	6	1	22	11	6	1	8	2	7	0	0	2	201	0	647	4	1	224	1	2	6				233								
1/2000	13	1	1	1	43	1	1	1	4	5	7	0	0	8	1,301	0	647	5	5	224	1	2	5				233								
1/2000	13	1	2	2	26	2	1	1	1	3	3	6	1	0	2,201	0	647	5	5	224	1	2	5				233								
1/2000	13	1	3	2	8	3	6	1	3	2	2	1	1	0	101	0	647	1	0	224	1	2	5				233								
1/2000	13	1	4	2	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	224	1	2	5				233								
1/2000	13	1	5	2	15	11	6	1	8	2	3	2	2	0	101	0	647	1	0	224	1	2	5				233								
1/2000	14	1	1	1	35	1	2	1	4	5	7	0	0	8	2,801	0	647	5	3	224	1	2	4				232								
1/2000	14	1	2	2	31	2	2	1	4	3	7	0	0	8	2,801	0	647	4	5	224	1	2	4				232								
1/2000	14	1	3	2	4	3	6	0	1	1	1	1	1	0	101	0	647	1	0	224	1	2	4				232								
1/2000	14	1	4	2	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	224	1	2	4				232								
1/2000	15	1	1	1	58	1	2	1	3	4	7	0	0	8	1,301	0	647	5	5	224	1	2	5				233								
1/2000	15	1	2	2	59	2	2	1	4	3	7	0	0	7	101	0	647	1	0	224	1	2	5				233								
1/2000	15	1	3	1	24	3	6	1	4	3	5	8	0	5	101	0	647	1	0	224	1	2	5				233								
1/2000	15	1	4	2	23	3	6	1	4	5	5	3	2	0	101	0	647	1	0	224	1	2	5				233								
1/2000	15	1	5	2	21	3	6	1	2	5	5	3	1	0	101	0	647	1	0	224	1	2	5				233								
1/2000	16	1	1	1	70	1	2	1	8	2	7	0	0	7	101	0	647	1	0	224	1	2	7				233								
1/2000	16	1	2	2	57	2	2	1	2	2	7	0	0	7	101	0	647	1	0	224	1	2	7				233								
1/2000	16	1	3	2	33	3	3	1	3	5	5	2	2	0	101	0	647	1	0	224	1	2	7				233								
1/2000	16	1	4	2	12	5	6	1	5	2	2	2	1	0	101	0	647	1	0	224	1	2	7				233								
1/2000	16	1	5	1	10	5	6	1	2	2	2	2	1	0	101	0	647	1	0	224	1	2	7				233								
1/2000	16	1	6	2	7	5	6	2	1	2	2	1	1	0	101	0	647	1	0	224	1	2	7				233								
1/2000	16	1	7	2	5	5	6	0	0	7	7	0	0	7	101	0	647	1	0	224	1	2	7				233								
1/2000	17	1	1	2	60	1	5	1	4	2	7	0	0	7	101	0	647	1	0	224	1	2	3				233								
1/2000	17	1	2	2	28	3	6	1	4	3	7	0	0	5	101	0	647	1	0	224	1	2	3				233								
1/2000	17	1	3	2	20	3	6	1	3	3	3	3	2	0	101	0	647	1	0	224	1	2	3				233								
1/2000	18	1	1	1	35	1	1	1	6	2	7	0	0	2	2,201	0	647	5	1	224	1	2	5				233								
1/2000	18	1	2	2	24	2	1	1	6	2	7	0	0	9	2,201	0	647	5	1	224	1	2	5				233								
1/2000	18	1	3	1	2	3	6	0	0	0	0	0	0	0	101	0	647	1	0	224	1	2	5				233								
1/2000	18	1	4	2	1	3	6	0	0	0	0	0	0	0	101	0	647	1	0	224	1	2	5				233								
1/2000	18	1	5	1	18	9	6	1	2	2	7	0	0	5	2,201	0	647	2	5	224	1	2	5				233								
1/2000	19	1	1	1	28	1	2	1	3	5	7	0	0	2	101	0	647	1	0	224	1	2	4				233								
1/2000	19	1	2	2	28	2	2	1	3	5	7	0	0	9	2,901	0	647	5	5	224	1	2	4				233								
1/2000	19	1	3	1	4	3	6	0	0	7	1	1	1	0	101	0	647	1	0	224	1	2	4				233								
1/2000	19	1	4	1	1	3	6	0	0	0	0	0	0	0	101	0	647	1	0	224	1	2	4				233								
1/2000	20	1	1	1	31	1	2	1	3	3	7	0	0	2	603	0	647	5	1	224	1	2	3				233								
1/2000	20	1	2	2	25	2	2	1	1	3	7	0	0	2	1,801	0	647	5	3	224	1	2	3				233								
1/2000	20	1	3	1	0	3	6	0	0	0	0	0	0	0	101	0	647	1	0	224	1	2	3				233								
1/2000	21	1	1	1	42	1	1	1	4	3	7	0	0	2	101	0	647	1	0	351	1	3	6				365								
1/2000	21	1	2	2	43	2	1	1	5	2	7	0	0	9	2,701	0	647	5	5	351	1	3	6				365								
1/2000	21	1	3	1	15	4	6	1	6	2	2	1	1	0	101	0	647	1	0	351	1	3	6				365								
1/2000	21	1	4	1	11	3	6	1	4	2	2	1	1	0	101	0	647	1	0	351	1	3	6				365								
1/2000	21	1	5	1	10	3	6	1	2	2	2	1	1	0	101	0	647	1	0	351	1	3	6				365								
1/2000	21	1	6	2	8	3	6	1	1	2	2	1	1	0	101	0	647	1	0	351	1	3	6				365								
1/2000	22	1	1	2	50	1	2	1	4	5	7	0	0	8	1,401	0	647	5	3	351	1	3	3				365								
1/2000	22	1	2	2	22	3	6	1	4	5	5	3	2	0	101	0	647	1	0	351	1	3	3				365								
1/2000	22	1	3	2	48	12	3	1	3	2	7	0	0	7	101	0	647	2	5	351	1	3	3				365								
1/2000	23	1	1	2	57	1	4	1	2	2	7	0	0	3	101	0	647	1	0	351	1	3	8				366								
1/2000	23	1	2	1	35	3	2	1	4	5	7	0	0	8	101	0	647	1	0	351	1	3	8				366								
1/2000	23	1	3	2	33	3	4	1	8	2	7	0	0	9	101	0	647	1	0	351	1	3	8				366								
1/2000	23	1	4	1	27	3	2	1	8	2	7	0	0	9	101	0	647	1	0	351	1	3	8				366								
1/2000	23	1	5	2	25	3	6	1	4	3	7	0	0	5	101	0	647	1	0	351	1	3	8				366								
1/2000	23	1	6	1	9	5	6	1	1	2	2	1	1	0	101	0	647	1	0	351	1	3	8				366								
1/2000	23	1	7	1	7	5	6	2	0	7	2	1	1	0	101	0	647	1	0	351	1	3	8				366								
1/2000	23	1	8	1	6	5	6	2	1	2	2	1	1	0	101	0	647	1	0	351	1	3	8				366								
1/2000	24	1	1	2	43	1	1	1	1	3	7	0	0	7	101	0	647	1	0	351	1	3	4				366								
1/2000	24	1	2	1	40	2	1	1	3	2	7	0	0	2	1,703	0	647	5	5	351	1	3	4				366								
1/2000	24	1	3	2	13	3	6	1	7	2	2	2	2	0	101	0	647	1	0	351	1	3	4				366								
1/2000	24	1	4	1	28	11	6	1	8	2	7	0	0	2	101	0	647	1	0	351	1	3	4				366								
1/2000	25	1	1	1	31	1	1	1	6	2	7	0	0	2	101	0	647	1	0	351	1	3	3				366								
1/2000	25	1	2	2	35	2	1	1	8	2	7	0	0	2	101	0	647	1	0	351	1	3	3				366								
1/2000	25	1	3	2	14	4	6	1	6	2	2	2	2	0	101	0	647	1	0	351	1	3	3				366								
1/2000	26	1	1	1	25	1	1	1	4	3	7	0	0	2	101	0	647	1	0	351	1	3	2				365								
1/2000	26	1	2	2	19	2	1	1	7	2	7	0	0	7	201	0	647	3	5	351	1	3	2				365								
1/2000	27	1	1	1	32	1	1	1	8	2	7	0	0	2	101	0	647	1	0	351	1	3	2				365								
1/2000	27	1	2	2	21	2	1	1	2	3	4	2	1	0	101	0	647	1	0	351	1	3	2				365								
1/2000	28	1	1	1	26	1	1	1	3	3	7	0	0	2	2,901	0	647	5	3	351	1	3	3				365								
1/2000	28	1	2	2	22	2	1	1	4	3	7	0	0	9	101	0	647	1	0	351	1	3	3				365								
1/2000	28	1	3	1	2	3	6	0	0	0	0	0	0	0	101	0	647	1	0	351	1	3	3				365								
1/2000	29	1	1	1	58	1	1	1	8	2	7	0	0	2	1,302	0	647	5	1	351	1	3	5				365								
1/2000	29	1	2	2	45	2	1	1	3	2	7	0	0	2	101	0	647	1	0	351	1	3	5				365								
1/2000	29	1	3	1	17	4	6	1	7	2	2	3	2	0	101	0	647	1	0	351	1	3	5				365								
1/2000	29	1	4	2	16	4	6	1	4	2	7	0	0	2	101	0	647	1	0	351	1	3	5				365								
1/2000	29	1	5	2	1	11	6	0	0	0	0	0	0	0	101	0	647	1	0	351	1	3	5				365								
1/2000	30	1	1	1	42	1	1	1	2	3	7	0	0	2	1,401	0	647	5	5	351	1	3	4				365								
1/2000	30	1	2	2	38	2	1	1	4	5	7	0	0	8	2,501	0	647	5	3	351	1	3	4				365								
1/2000	30	1	3	1	14	3	6	1	8	2	3	2	1	0	101	0	647	1	0	351	1	3	4				365								
1/2000	30	1	4	1	9	3	6	1	4	2	2	2	1	0	101	0	647	1	0	351	1	3	4				365								
1/2000	31	1	1	1	79	1	1	2	1	2	7	0	0	3	601	0	647	5	5	1,431	1	4	6				1,487								
1/2000	31	1	2	2	74	2	1	2	1	2	7	0	0	2	2,301	0	647	5	1	1,431	1	4	6				1,487								
1/2000	31	1	3	1	12	3	6	1	2	3	3	1	2	0	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	31	1	4	2	4	3	6	0	0	7	7	0	0	7	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	31	1	5	1	8	3	6	1	1	2	2	1	2	0	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	31	1	6	1	7	3	6	2	1	2	7	0	0	9	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	32	1	1	1	26	1	1	1	8	2	7	0	0	2	601	0	647	5	6	1,431	1	4	4				1,487								
1/2000	32	1	2	2	24	2	1	1	1	3	7	0	0	3	2,201	0	647	5	6	1,431	1	4	4				1,487								
1/2000	32	1	3	1	4	3	6	0	0	7	7	0	0	7	101	0	647	1	0	1,431	1	4	4				1,487								
1/2000	32	1	4	1	4	3	6	0	0	7	7	0	0	7	101	0	647	1	0	1,431	1	4	4				1,487								
1/2000	33	1	1	1	30	1	2	1	2	5	5	6	1	0	901	0	647	5	1	1,431	1	4	6				1,487								
1/2000	33	1	2	2	34	2	2	1	3	3	7	0	0	9	1,801	0	647	5	1	1,431	1	4	6				1,487								
1/2000	33	1	3	1	13	3	6	1	5	2	2	2	2	0	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	33	1	4	2	7	3	6	1	3	2	2	2	2	0	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	33	1	5	2	4	3	6	0	2	1	1	1	2	0	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	33	1	6	2	54	7	4	1	7	2	7	0	0	9	1,801	0	647	5	1	1,431	1	4	6				1,487								
1/2000	34	1	1	1	30	1	2	1	4	3	7	0	0	2	601	0	647	5	6	1,431	1	4	5				1,488								
1/2000	34	1	2	2	31	2	2	1	2	3	7	0	0	9	2,501	0	647	5	3	1,431	1	4	5				1,488								
1/2000	34	1	3	2	9	3	6	1	3	2	2	2	2	0	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	34	1	4	1	6	3	6	2	3	1	2	1	2	0	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	34	1	5	2	1	3	6	0	0	0	0	0	0	0	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	35	1	1	1	53	1	2	1	2	3	7	0	0	2	101	0	647	1	0	1,431	1	4	3				1,488								
1/2000	35	1	2	2	24	2	2	1	4	2	7	0	0	9	101	0	647	1	0	1,431	1	4	3				1,488								
1/2000	35	1	3	2	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	1,431	1	4	3				1,488								
1/2000	36	1	1	1	43	1	2	1	5	2	7	0	0	3	401	0	647	5	1	1,431	1	4	5				1,488								
1/2000	36	1	2	2	40	2	2	1	8	2	7	0	0	3	401	0	647	5	1	1,431	1	4	5				1,488								
1/2000	36	1	3	2	23	3	6	1	2	5	5	3	2	0	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	36	1	4	2	18	3	6	1	7	2	2	2	2	0	401	0	647	5	3	1,431	1	4	5				1,488								
1/2000	36	1	5	1	12	3	6	1	6	2	2	1	2	0	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	37	1	1	2	47	1	4	1	5	2	7	0	0	9	1,808	0	647	5	6	1,431	1	4	4				1,488								
1/2000	37	1	2	2	22	3	6	1	3	5	5	3	2	0	1,808	0	647	5	3	1,431	1	4	4				1,488								
1/2000	37	1	3	1	17	3	6	1	8	2	3	2	2	0	101	0	647	1	0	1,431	1	4	4				1,488								
1/2000	37	1	4	1	21	3	6	1	7	2	7	0	0	2	2,801	0	647	5	6	1,431	1	4	4				1,488								
1/2000	38	1	1	2	38	1	6	1	8	2	7	0	0	2	1,801	0	647	5	6	1,431	1	4	5				1,488								
1/2000	38	1	2	2	20	3	6	1	4	3	7	0	0	5	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	38	1	3	1	17	3	6	1	2	3	3	1	1	0	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	38	1	4	2	15	3	6	1	8	2	2	1	1	0	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	38	1	5	2	13	3	6	1	6	2	2	1	2	0	101	0	647	1	0	1,431	1	4	5				1,488								
1/2000	39	1	1	1	42	1	2	1	8	2	7	0	0	9	901	0	647	5	1	1,431	1	4	6				1,487								
1/2000	39	1	2	2	39	2	2	1	1	3	7	0	0	2	2,904	0	647	5	1	1,431	1	4	6				1,487								
1/2000	39	1	3	1	15	3	6	1	7	2	2	1	2	0	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	39	1	4	1	12	3	6	1	4	2	2	1	2	0	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	39	1	5	1	10	3	6	1	4	2	2	1	2	0	101	0	647	1	0	1,431	1	4	6				1,487								
1/2000	39	1	6	2	17	3	6	1	5	2	2	3	2	0	2,904	0	647	5	6	1,431	1	4	6				1,487								
1/2000	40	1	1	1	25	1	2	1	1	5	5	3	2	0	2,205	0	647	5	1	1,431	1	4	4				1,488								
1/2000	40	1	2	2	24	2	2	2	1	2	5	5	1	0	401	0	647	5	6	1,431	1	4	4				1,488								
1/2000	40	1	3	2	22	9	6	1	1	5	5	3	2	0	2,205	0	647	5	6	1,431	1	4	4				1,488								
1/2000	40	1	4	2	27	9	4	1	2	2	7	0	0	2	2,205	0	647	5	6	1,431	1	4	4				1,488								
1/2000	41	1	1	1	45	1	1	1	8	2	7	0	0	2	101	0	647	1	0	252	1	5	4				262								
1/2000	41	1	2	2	37	2	1	1	3	2	7	0	0	7	101	0	647	1	0	252	1	5	4				262								
1/2000	41	1	3	1	22	3	6	1	3	5	5	3	2	0	101	0	647	1	0	252	1	5	4				262								
1/2000	41	1	4	2	19	3	6	1	2	5	5	3	2	0	101	0	647	1	0	252	1	5	4				262								
1/2000	42	1	1	1	43	1	1	1	4	2	7	0	0	7	1,903	0	647	5	1	252	1	5	3				262								
1/2000	42	1	2	2	38	2	1	1	3	3	7	0	0	5	1,301	0	647	5	1	252	1	5	3				262								
1/2000	42	1	3	2	11	3	6	1	4	2	2	1	2	0	1,903	0	647	5	5	252	1	5	3				262								
1/2000	43	1	1	2	35	1	1	1	7	2	7	0	0	2	205	0	647	5	5	252	1	5	4				262								
1/2000	43	1	2	1	35	2	1	1	1	2	7	0	0	7	1,903	0	647	5	1	252	1	5	4				262								
1/2000	43	1	3	2	20	3	6	1	3	3	3	1	2	0	101	0	647	1	0	252	1	5	4				262								
1/2000	43	1	4	2	14	3	6	1	1	3	3	1	2	0	101	0	647	1	0	252	1	5	4				262								
1/2000	44	1	1	2	42	1	1	1	3	2	7	0	0	7	101	0	647	1	0	252	1	5	4				262								
1/2000	44	1	2	1	49	2	1	1	6	2	7	0	0	7	101	0	647	1	0	252	1	5	4				262								
1/2000	44	1	3	1	22	3	6	1	4	3	5	3	2	0	101	0	647	1	0	252	1	5	4				262								
1/2000	44	1	4	2	14	3	6	1	5	2	2	1	1	0	101	0	647	1	0	252	1	5	4				262								
1/2000	45	1	1	2	27	1	3	1	4	5	7	0	0	8	101	0	647	1	0	252	1	5	3				262								
1/2000	45	1	2	2	50	7	4	1	4	3	7	0	0	7	101	0	647	1	0	252	1	5	3				262								
1/2000	45	1	3	1	18	3	6	1	4	3	5	1	2	0	101	0	647	1	0	252	1	5	3				262								
1/2000	46	1	1	1	40	1	1	1	6	2	7	0	0	7	1,801	0	647	5	1	252	1	5	5				261								
1/2000	46	1	2	2	38	2	1	1	4	3	7	0	0	7	2,101	0	647	5	3	252	1	5	5				261								
1/2000	46	1	3	1	21	3	6	1	4	3	4	1	1	0	101	0	647	1	0	252	1	5	5				261								
1/2000	46	1	4	1	15	3	6	1	8	2	3	1	1	0	101	0	647	1	0	252	1	5	5				261								
1/2000	46	1	5	2	11	3	6	1	5	2	2	1	1	0	101	0	647	1	0	252	1	5	5				261								
1/2000	47	1	1	1	29	1	1	1	7	2	7	0	0	2	2,501	0	647	5	5	252	1	5	2				261								
1/2000	47	1	2	2	29	2	1	1	1	3	7	0	0	4	2,201	0	647	5	5	252	1	5	2				261								
1/2000	48	1	1	1	39	1	1	1	4	3	7	0	0	2	101	0	647	1	0	252	1	5	3				261								
1/2000	48	1	2	2	35	2	1	1	4	3	7	0	0	9	101	0	647	1	0	252	1	5	3				261								
1/2000	48	1	3	1	20	3	6	1	4	3	5	3	2	0	101	0	647	1	0	252	1	5	3				261								
1/2000	49	1	1	2	27	1	4	1	8	2	7	0	0	4	101	0	647	1	0	252	1	5	2				262								
1/2000	49	1	2	1	12	3	6	1	5	2	2	1	2	0	101	0	647	1	0	252	1	5	2				262								
1/2000	50	1	1	1	43	1	1	1	6	2	7	0	0	7	101	0	647	1	0	252	1	5	6				261								
1/2000	50	1	2	2	38	2	1	1	7	2	7	0	0	7	101	0	647	1	0	252	1	5	6				261								
1/2000	50	1	3	2	19	3	6	1	4	3	5	1	2	0	101	0	647	1	0	252	1	5	6				261								
1/2000	50	1	4	2	16	3	6	1	8	2	3	2	2	0	101	0	647	1	0	252	1	5	6				261								
1/2000	50	1	5	1	13	3	6	1	5	2	2	2	2	0	101	0	647	1	0	252	1	5	6				261								
1/2000	50	1	6	2	18	11	6	1	3	2	3	3	2	0	101	0	647	1	0	252	1	5	6				261								
1/2000	51	1	1	1	51	1	2	1	1	3	7	0	0	7	2,501	1	647	5	1	300	1	6	5				312								
1/2000	51	1	2	2	48	2	2	1	4	3	7	0	0	7	1,901	0	647	5	5	300	1	6	5				312								
1/2000	51	1	3	2	20	3	6	1	3	3	3	1	1	0	1,901	0	647	5	5	300	1	6	5				312								
1/2000	51	1	4	1	25	3	6	1	4	3	7	0	0	9	1,901	0	647	5	5	300	1	6	5				312								
1/2000	51	1	5	2	4	11	6	0	0	7	1	2	1	0	101	0	647	1	0	300	1	6	5				312								
1/2000	52	1	1	1	53	1	2	1	5	2	7	0	0	7	601	0	647	5	1	300	1	6	4				312								
1/2000	52	1	2	2	52	2	2	1	4	2	7	0	0	7	1,301	1	647	5	5	300	1	6	4				312								
1/2000	52	1	3	2	30	3	6	1	4	3	7	0	0	2	101	0	647	5	5	300	1	6	4				312								
1/2000	52	1	4	2	7	5	6	2	0	7	1	1	1	0	101	0	647	1	0	300	1	6	4				312								
1/2000	53	1	1	1	35	1	2	1	3	5	5	2	2	0	601	0	647	5	1	300	1	6	5				311								
1/2000	53	1	2	2	29	2	2	1	4	5	7	0	0	8	601	0	647	5	5	300	1	6	5				311								
1/2000	53	1	3	2	16	3	6	1	8	2	3	3	1	0	101	0	647	1	0	300	1	6	5				311								
1/2000	53	1	4	2	9	3	6	2	1	2	2	1	1	0	101	0	647	1	0	300	1	6	5				311								
1/2000	53	1	5	1	2	3	6	0	0	0	0	0	0	0	101	0	647	1	0	300	1	6	5				311								
1/2000	54	1	1	1	72	1	2	2	0	7	7	0	0	7	905	0	647	5	1	300	1	6	4				311								
1/2000	54	1	2	2	64	2	2	1	2	2	7	0	0	7	1,401	0	647	5	5	300	1	6	4				311								
